evaluation_number,timestamp,optimization_run,algorithm,current_fidelity,switch_reason,computational_cost_seconds,accuracy_estimate,cumulative_cost,cost_savings_vs_high_fidelity,convergence_rate,uncertainty_level,decision_confidence
1,2024-08-14T10:30:01Z,aircraft_commercial_001,GeneticAlgorithm,low,initialization,0.08,0.82,0.08,0.995,0.0,0.95,0.9
2,2024-08-14T10:30:02Z,aircraft_commercial_001,GeneticAlgorithm,low,early_exploration,0.09,0.82,0.17,0.989,0.12,0.92,0.88
3,2024-08-14T10:30:03Z,aircraft_commercial_001,GeneticAlgorithm,low,early_exploration,0.07,0.83,0.24,0.984,0.18,0.89,0.85
10,2024-08-14T10:30:11Z,aircraft_commercial_001,GeneticAlgorithm,low,population_diversity_high,0.08,0.81,0.89,0.944,0.34,0.88,0.82
15,2024-08-14T10:30:16Z,aircraft_commercial_001,GeneticAlgorithm,medium,convergence_slowing,2.1,0.91,3.19,0.789,0.28,0.76,0.78
16,2024-08-14T10:30:18Z,aircraft_commercial_001,GeneticAlgorithm,medium,verification_needed,2.3,0.92,5.49,0.633,0.22,0.74,0.81
20,2024-08-14T10:30:25Z,aircraft_commercial_001,GeneticAlgorithm,medium,refinement_phase,2.0,0.91,13.49,0.551,0.18,0.68,0.75
25,2024-08-14T10:30:35Z,aircraft_commercial_001,GeneticAlgorithm,high,final_verification,15.2,0.97,28.69,0.489,0.05,0.42,0.92
26,2024-08-14T10:30:50Z,aircraft_commercial_001,GeneticAlgorithm,high,critical_evaluation,16.1,0.97,44.79,0.402,0.03,0.38,0.94
30,2024-08-14T10:31:45Z,aircraft_commercial_001,GeneticAlgorithm,high,convergence_confirmation,15.8,0.96,110.59,0.251,0.01,0.32,0.96
35,2024-08-14T10:32:30Z,aircraft_commercial_001,GeneticAlgorithm,medium,budget_optimization,2.2,0.90,121.59,0.234,0.02,0.35,0.73
40,2024-08-14T10:32:45Z,aircraft_commercial_001,GeneticAlgorithm,low,exploration_diversity,0.09,0.83,121.94,0.186,0.08,0.48,0.68
1,2024-08-14T10:45:01Z,spacecraft_earth_obs_001,BayesianOptimization,low,initialization,0.07,0.81,0.07,0.995,0.0,0.97,0.91
2,2024-08-14T10:45:02Z,spacecraft_earth_obs_001,BayesianOptimization,low,gp_training,0.08,0.82,0.15,0.990,0.15,0.94,0.89
5,2024-08-14T10:45:05Z,spacecraft_earth_obs_001,BayesianOptimization,medium,acquisition_optimization,2.4,0.92,5.15,0.656,0.42,0.78,0.85
8,2024-08-14T10:45:12Z,spacecraft_earth_obs_001,BayesianOptimization,medium,gp_uncertainty_reduction,2.1,0.91,11.35,0.549,0.38,0.71,0.82
10,2024-08-14T10:45:17Z,spacecraft_earth_obs_001,BayesianOptimization,high,high_confidence_region,16.8,0.96,28.15,0.453,0.25,0.45,0.93
12,2024-08-14T10:45:40Z,spacecraft_earth_obs_001,BayesianOptimization,high,final_exploitation,15.9,0.97,44.05,0.361,0.12,0.38,0.95
15,2024-08-14T10:46:15Z,spacecraft_earth_obs_001,BayesianOptimization,medium,exploration_balance,2.3,0.90,51.55,0.315,0.08,0.52,0.78
20,2024-08-14T10:46:30Z,spacecraft_earth_obs_001,BayesianOptimization,low,budget_conservation,0.08,0.83,52.15,0.278,0.05,0.65,0.71
1,2024-08-14T11:00:01Z,aircraft_business_jet_003,BayesianOptimization,low,initialization,0.06,0.80,0.06,0.996,0.0,0.96,0.92
3,2024-08-14T11:00:04Z,aircraft_business_jet_003,BayesianOptimization,low,early_sampling,0.07,0.81,0.19,0.987,0.28,0.91,0.87
5,2024-08-14T11:00:07Z,aircraft_business_jet_003,BayesianOptimization,medium,uncertainty_high,2.0,0.90,2.39,0.841,0.45,0.82,0.84
7,2024-08-14T11:00:12Z,aircraft_business_jet_003,BayesianOptimization,medium,gp_confidence_building,2.2,0.91,6.79,0.731,0.38,0.76,0.86
10,2024-08-14T11:00:20Z,aircraft_business_jet_003,BayesianOptimization,high,exploitation_phase,15.4,0.96,22.19,0.541,0.22,0.52,0.91
12,2024-08-14T11:00:45Z,aircraft_business_jet_003,BayesianOptimization,high,convergence_verification,16.2,0.97,38.39,0.427,0.08,0.41,0.94
15,2024-08-14T11:01:15Z,aircraft_business_jet_003,BayesianOptimization,medium,refinement,2.1,0.89,44.89,0.379,0.04,0.58,0.79
18,2024-08-14T11:01:25Z,aircraft_business_jet_003,BayesianOptimization,low,exploration_final,0.08,0.82,45.21,0.332,0.02,0.72,0.69
1,2024-08-14T11:15:01Z,spacecraft_deep_space_003,GeneticAlgorithm,low,initialization,0.09,0.79,0.09,0.994,0.0,0.98,0.88
5,2024-08-14T11:15:06Z,spacecraft_deep_space_003,GeneticAlgorithm,low,population_exploration,0.08,0.81,0.49,0.967,0.21,0.94,0.85
10,2024-08-14T11:15:12Z,spacecraft_deep_space_003,GeneticAlgorithm,low,diversity_maintenance,0.07,0.80,0.91,0.939,0.35,0.89,0.82
